Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
1,241,0,0,0,0,0,0,0,241,0,0,0,0.02,NN
2,241.02,0,0,0,0,0,0,0,241.02,0,0,0,0.01,NN
3,241.03,0,0,0,0,0,0,0,241.03,0,0,0,0.02,NN
4,241.05,0,0,0,0,0,0,0,241.05,0,0,0,0.11,NN
5,241.16,0,0,0,0,0,0,0,241.16,0,0,0,0.01,NN
6,241.17,0,0,0,0,0,0,0,241.17,0,0,0,0.01,NN
7,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0.01,NN
8,241.19,0,0,0,0,0,0,0,241.19,0,0,0,-0.01,NN
9,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0.01,NN
10,241.19,0,0,0,0,0,0,0,241.19,0,0,0,-0.01,NN
11,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.01,NN
12,241.17,0,0,0,0,0,0,0,241.17,0,0,0,0.01,NN
13,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.01,NN
14,241.17,0,0,0,0,0,0,0,241.17,0,0,0,0.03,NN
15,241.2,0,0,0,0,0,0,0,241.2,0,0,0,-0.02,NN
16,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0,NN
17,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0,NN
18,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.01,NN
19,241.17,0,0,0,0,0,0,0,241.17,0,0,0,0.01,NN
20,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.01,NN
21,241.17,0,0,0,0,0,0,0,241.17,0,0,0,-0.02,NN
22,241.15,0,0,0,0,0,0,0,241.15,0,0,0,-0.01,NN
23,241.14,0,0,0,0,0,0,0,241.14,0,0,0,0.01,NN
24,241.15,0,0,0,0,0,0,0,241.15,0,0,0,0.03,NN
25,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.02,NN
26,241.16,0,0,0,0,0,0,0,241.16,0,0,0,-0.01,NN
27,241.15,0,0,0,0,0,0,0,241.15,0,0,0,0.01,NN
28,241.16,0,0,0,0,0,0,0,241.16,0,0,0,-0.04,NN
29,241.12,0,0,0,0,0,0,0,241.12,0,0,0,-0.06,NN
30,241.06,0,0,0,0,0,0,0,241.06,0,0,0,0.02,NN
31,241.08,0,0,0,0,0,0,0,241.08,0,0,0,0.03,NN
32,241.11,0,0,0,0,0,0,0,241.11,0,0,0,0.02,NN
33,241.13,0,0,0,0,0,0,0,241.13,0,0,0,0.04,NN
34,241.17,0,0,0,0,0,0,0,241.17,0,0,0,0.01,NN
35,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0,NN
36,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.02,NN
37,241.16,0,0,0,0,0,0,0,241.16,0,0,0,0.02,NN
38,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0.01,NN
39,241.19,0,0,0,0,0,0,0,241.19,0,0,0,-0.01,NN
40,241.18,0,0,0,0,0,0,0,241.18,0,0,0,0,NN
41,241.18,0,0,0,0,0,0,0,241.18,0,0,0,-0.02,NN
42,241.16,0,0,0,0,0,0,0,241.16,0,0,0,-0.03,NN
43,241.13,0,0,0,0,0,0,0,241.13,0,0,0,0.03,NN
44,241.16,0,0,0,0,0,0,0,241.16,0,0,0,-0.02,NN
45,241.14,0,0,0,0,0,0,0,241.14,0,0,0,-0.02,NN
46,241.12,0,0,0,0,0,0,0,241.12,0,0,0,0.02,NN
47,241.14,0,0,0,0,0,0,0,241.14,0,0,0,-0.01,NN
48,241.13,0,0,0,0,0,0,0,241.13,0,0,0,-0.04,NN
49,241.09,0,0,0,0,0,0,0,241.09,0,0,0,0.02,NN
50,241.11,0,0,0,0,0,0,0,241.11,0,0,0,-0.03,NN
51,241.08,0,0,0,0,0,0,0,241.08,0,0,0,0,NN
52,241.08,0,0,0,0,0,0,0,241.08,0,0,0,-0.01,NN
53,241.07,0,0,0,0,0,0,0,241.07,0,0,0,-0.01,NN
54,241.06,0,0,0,0,0,0,0,241.06,0,0,0,-0.02,NN
55,241.04,0,0,0,0,0,0,0,241.04,0,0,0,0,NN
56,241.04,0,0,0,0,0,0,0,241.04,0,0,0,-0.01,NN
57,241.03,0,0,0,0,0,0,0,241.03,0,0,0,-0.03,NN
58,241,0,0,0,0,0,0,0,241,0,0,0,-0.01,NN
59,240.99,0,0,0,0,0,0,0,240.99,0,0,0,-0.01,NN
60,240.98,0,0,0,0,0,0,0,240.98,0,0,0,-0.01,NN
61,240.97,0,0,0,0,0,0,0,240.97,0,0,0,0.01,NN
62,240.98,0,0,0,0,0,0,0,240.98,0,0,0,0.02,NN
63,241,0,0,0,0,0,0,0,241,0,0,0,-0.03,NN
